name,brand,category,color,price,price_old,RAM,ROM,percent,rating,sold
Acer Aspire Lite 16 G2 AL16 52P 76DU i7 1355U (NX.J2SSV.005),Acer,Laptop,Bạc,17990000.0,17990000.0,RAM 16 GB,SSD 512 GB,0,5,199
HP Pavilion 15 eg3094TU i5 1335U (8C5L5PA),HP,Laptop,Vàng,16790000.0,16790000.0,RAM 8 GB,SSD 512 GB,0,5,636
HP 240 G9 i5 1235U (9T2G2PT),HP,Laptop,Bạc,15690000.0,15690000.0,RAM 16 GB,SSD 512 GB,0,5,1100
MSI Prestige 14 AI Studio C1UDXG Ultra 7 155H (058VN),MSI,Laptop,Xám,26590000.0,26590000.0,RAM 16 GB,SSD 1 TB,0,5,28
Dell Inspiron 16 5640 Core 7 150U (N5640-C7U161W11IBU),Dell,Laptop,Xanh Dương,25990000.0,25990000.0,RAM 16 GB,SSD 1 TB,0,5,639
Acer Aspire 5 A515 58M 56YX i5 13420H (NX.KQ8SV.005),Acer,Laptop,Xám,14990000.0,14990000.0,RAM 16 GB,SSD 512 GB,0,4.9,1200
Acer Gaming Nitro V ANV15 51 58AN i5 13420H (NH.QNASV.001),Acer,Laptop,Đen,16590000.0,16590000.0,RAM 8 GB,SSD 512 GB,0,5,269
HP Elitebook 630 G10 i7 1355U (9H1N9PT),HP,Laptop,Bạc,25190000.0,25190000.0,RAM 16 GB,SSD 512 GB,0,4.9,209
Asus Vivobook 16 A1607CA Ultra 5 225H (MB038WS),Asus,Laptop,Bạc,20990000.0,20990000.0,RAM 16 GB,SSD 512 GB,0,5,25
Lenovo Gaming LOQ 15IAX9 i5 12450HX (83GS00DBVN),Lenovo,Laptop,Xám,20690000.0,20690000.0,RAM 24 GB,SSD 512 GB,0,5,359
Asus Zenbook 14 UX3405CA Ultra 9 285H (PZ204WS),Asus,Laptop,Xanh Dương,36990000.0,36990000.0,RAM 32 GB,SSD 1 TB,0,5,12
Lenovo V14 G4 i7 1355U (83A00012VN),Lenovo,Laptop,Xám,18490000.0,18490000.0,RAM 16 GB,SSD 512 GB,0,4.9,353
HP Gaming VICTUS 16 s0077AX R7 7840HS (8C5N6PA),HP,Laptop,Đen,26190000.0,26190000.0,RAM 16 GB,SSD 512 GB,0,5,423
Acer Aspire 16 AI A16 71M 71U7 Ultra 7 155H (NX.J4YSV.002),Acer,Laptop,Xám,19990000.0,19990000.0,RAM 16 GB,SSD 512 GB,0,5,58
MSI Prestige 14 AI Studio C1VEG Ultra 7 155H (056VN),MSI,Laptop,Xám,32590000.0,32590000.0,RAM 32 GB,SSD 1 TB,0,5,40
HP Probook 450 G10 i5 1335U (873D1PA),HP,Laptop,Bạc,19690000.0,19690000.0,RAM 16 GB,SSD 512 GB,0,5,317
HP Pavilion 16 af0055TU Ultra 5 125U (AY8C4PA),HP,Laptop,Bạc,22390000.0,22390000.0,RAM 16 GB,SSD 512 GB,0,0,0
Dell Inspiron 15 3530 i5 1334U (71053696),Dell,Laptop,Bạc,18490000.0,18490000.0,RAM 16 GB,SSD 512 GB,0,0,0
Dell Inspiron 15 3520 i5 1235U (i5U085W11BLU),Dell,Laptop,Đen,14490000.0,14490000.0,RAM 8 GB,SSD 512 GB,0,4.9,4400
Dell Inspiron 15 3530 i5 1334U (N3530-i5U165W11SLU),Dell,Laptop,Bạc,18490000.0,18490000.0,RAM 16 GB,SSD 512 GB,0,4.9,1500
Lenovo IdeaPad 5 2in1 14IRH9 i7 13620H (83KX003XVN),Lenovo,Laptop,Xám,24690000,24690000,RAM 16 GB,SSD 512 GB,0,5,41
Dell Inspiron 15 3530 i7 1355U (N3530-i7U161W11BLU-FP),Dell,Laptop,Đen,22490000.0,22490000.0,RAM 16 GB,SSD 1 TB,0,5,260
Acer Gaming Aspire 7 A715 76G 5806 i5 12450H (NH.QMFSV.002),Acer,Laptop,Đen,18690000.0,18690000.0,RAM 16 GB,SSD 512 GB,0,4.9,1000
Asus Zenbook 14 OLED UX3405MA Ultra 5 125H,Asus,Laptop,Xanh Dương,26690000.0,26690000.0,RAM 16 GB,SSD 512 GB,0,4.9,1100
HP VICTUS 16 r0283TX i5 13500H (AD9T3PA),HP,Laptop,Đen,23190000.0,23190000.0,RAM 16 GB,SSD 512 GB,0,5,132
Asus Vivobook 15 OLED A1505VA i5 13500H (L1341W),Asus,Laptop,Đen,17690000.0,17690000.0,RAM 16 GB,SSD 512 GB,0,4.9,3800
